0,1,2
92.76191,41.448174,anomaly
75.205025,68.56011,anomaly
45.9312,60.132004,anomaly
65.7009,49.385902,anomaly
66.01578,49.19,anomaly
59.006413,50.255413,anomaly
41.320827,48.672615,anomaly
60.042538,49.961212,anomaly
91.53783,44.16157,anomaly
0.36129972,95.55479,anomaly
58.528683,-90.67972,anomaly
56.861073,47.593147,anomaly
51.19493,47.51282,anomaly
28.692484,16.49481,anomaly
70.512245,41.101368,anomaly
68.23648,43.804493,anomaly
67.31271,41.098343,anomaly
65.66146,50.715496,anomaly
57.88656,54.4565,anomaly
67.48054,43.421772,anomaly
65.73281,50.6708,anomaly
67.34273,64.786316,anomaly
51.07575,47.42982,anomaly
0.36222848,95.555435,anomaly
62.676437,50.2899,anomaly
66.67199,43.842884,anomaly
49.388016,37.84471,anomaly
67.079,65.09481,anomaly
43.931618,58.52178,anomaly
85.03828,-39.215286,anomaly
83.40259,-37.65313,anomaly
66.58876,54.856705,anomaly
58.507122,-90.59842,anomaly
59.40914,43.69602,anomaly
57.634148,52.03468,anomaly
70.529144,47.835064,anomaly
42.515457,57.646873,anomaly
55.124607,-65.71655,anomaly
78.78378,44.35064,anomaly
76.6412,-32.8077,anomaly
73.66662,42.601826,anomaly
17.007069,19.30617,anomaly
59.235996,50.727646,anomaly
62.685993,45.355366,anomaly
86.910286,-39.549946,anomaly
70.52245,47.84935,anomaly
63.17165,41.291374,anomaly
74.373665,49.806564,anomaly
58.138836,59.67028,anomaly
54.684345,20.044537,anomaly
70.26703,43.39427,anomaly
66.618195,54.849102,anomaly
-2.468495,94.76181,anomaly
72.19476,34.917908,anomaly
67.079155,65.09472,anomaly
66.73963,-11.337153,anomaly
87.07206,-39.31343,anomaly
52.4148,62.963467,anomaly
70.824326,44.164547,anomaly
59.93589,38.89454,anomaly
58.55706,52.06387,anomaly
84.85018,-39.169205,anomaly
63.226955,52.58653,anomaly
63.22587,52.58872,anomaly
64.65698,50.64922,anomaly
70.965004,43.096634,anomaly
36.842674,16.570477,anomaly
52.591305,62.85839,anomaly
66.08725,50.45718,anomaly
78.806465,44.35079,anomaly
78.78424,44.3504,anomaly
28.710869,16.493986,anomaly
42.52278,57.65062,anomaly
57.85956,54.51004,anomaly
51.074787,47.4987,anomaly
-50.81334,-11.745515,anomaly
67.612015,45.418045,anomaly
70.07776,58.939896,anomaly
58.522602,51.340225,anomaly
72.21702,34.621117,anomaly
43.519024,58.241184,anomaly
60.239864,50.214714,anomaly
-2.6795163,94.87183,anomaly
17.0963,19.340307,anomaly
67.5462,45.37395,anomaly
-2.74541,94.76868,anomaly
58.372395,52.869442,anomaly
60.256348,46.85918,anomaly
76.64598,-32.80184,anomaly
63.269203,41.33167,anomaly
42.526485,57.653927,anomaly
72.21403,34.692467,anomaly
59.707684,50.528885,anomaly
51.19607,47.516693,anomaly
66.59691,54.85227,anomaly
67.34208,64.78616,anomaly
68.115944,44.74088,anomaly
46.079494,59.804325,anomaly
84.64047,-39.082935,anomaly
84.9424,-34.407936,anomaly
58.194897,59.573612,anomaly
58.48018,-90.52631,anomaly
63.34956,59.96801,anomaly
55.585087,44.303917,anomaly
-2.8280592,94.8422,anomaly
61.210342,53.32048,anomaly
74.37385,49.806587,anomaly
80.485,29.794802,anomaly
74.37456,49.810474,anomaly
56.854305,47.616955,anomaly
58.083138,-87.45263,anomaly
74.64174,-9.443983,anomaly
60.257523,46.858437,anomaly
60.052765,38.938168,anomaly
45.92436,60.108597,anomaly
59.073345,50.468822,anomaly
53.642063,24.164465,anomaly
60.940548,48.940968,anomaly
67.76461,44.292015,anomaly
62.6245,50.328056,anomaly
54.34369,53.896854,anomaly
51.307354,53.245686,anomaly
57.981625,54.297253,anomaly
64.5539,43.85352,anomaly
76.62372,-32.820015,anomaly
-3.73474,97.241356,anomaly
43.50277,58.230007,anomaly
41.43407,47.24873,anomaly
69.11972,43.269726,anomaly
57.825462,54.627995,anomaly
70.719315,40.753025,anomaly
59.95809,50.40374,anomaly
71.7237,54.159428,anomaly
76.63275,-32.8135,anomaly
67.088425,43.645187,anomaly
59.385513,43.647472,anomaly
59.316566,51.37626,anomaly
-3.7525249,97.25325,anomaly
67.755646,44.92673,anomaly
58.5101,-90.609375,anomaly
52.58985,62.868618,anomaly
70.74158,41.03329,anomaly
41.293846,49.529064,anomaly
86.79429,-39.866207,anomaly
-3.6581056,96.9569,anomaly
70.52682,47.836964,anomaly
69.5111,42.63952,anomaly
58.803017,64.9849,anomaly
52.591236,62.85929,anomaly
70.08048,58.938,anomaly
63.39536,55.52859,anomaly
70.100395,59.04852,anomaly
68.57515,43.12521,anomaly
45.91758,60.11258,anomaly
67.22332,43.960506,anomaly
51.195705,47.517147,anomaly
62.694977,45.3447,anomaly
68.383705,43.201244,anomaly
75.663574,-8.272275,anomaly
56.86114,47.59099,anomaly
60.341106,49.929253,anomaly
68.90403,43.582275,anomaly
70.10028,59.04785,anomaly
63.232086,52.583637,anomaly
60.853447,56.663307,anomaly
74.37394,49.80699,anomaly
66.09589,50.453598,anomaly
41.295048,49.52386,anomaly
52.590057,62.862072,anomaly
41.334503,49.54266,anomaly
